podcast_id;response
11;"  The story of the podcast is about a woman named Samantha who trains raccoons to play basketball and hires them out for parties and corporate events. However, the raccoons don't seem to enjoy the game and eventually start to revert to their natural behavior, biting and attacking Samantha. The podcast explores the idea of animal training and whether it's ethical to manipulate animals for human entertainment.<|end_of_text|>"" "
12;"    Ira Glass, the host of the podcast, talks about love, sex, and marriage. She interviews guests who share their stories about love and relationships, including Julie Laff, Mark O'Brien, and Luis Rodriguez. Glass also discusses the current state of safe sex in the US and the challenges of maintaining safe sex practices in the face of changing attitudes and the prevalence of the disease. She ends the show by playing a song written by children from the Daniel Jell Youth Services in Chicago.<|end_of_text|>"" "
13;"    The story of the Davis family, as told through a series of letters and conversations recorded on a reel-to-reel tape, is a tale of a father's struggle to find his place in a world where he feels he doesn't belong.   The father, Arthur Davis Senior, is a radio personality in the 1950s and 60s, but his career choice is met with opposition from his family, especially his wife and children. He is portrayed as a workaholic who is often absent from his family, leaving his wife to raise their children alone.   The mother, Grace, is depicted as a devoted homemaker"" "
14;"  Dawn Langley Simmons, a British writer who moved to the United States, underwent a sex change operation in 1969, marrying her former butler, John-Paul Simmons, a black man. The story of her life and transformation, including her struggles with her identity and her experiences in Charleston, South Carolina, was the subject of much media attention and became a source of fascination and controversy.<|end_of_text|>"" "
15;"    1. The podcast discusses the current state of the economy and the struggles of the working class, particularly those who are employed as temporary workers.   2. The podcast features an interview with a former drug dealer, who now works as a temporary worker at an agency. The interviewee describes the challenges of finding work, the low wages and lack of job security, and the constant fear of being laid off.   3. The podcast also features an interview with a poet and writer, who shares a story about her father's struggle to find work in the current economic climate.   4. The podcast then discusses an economic development project in Chicago"" "
16;"    1. The podcast begins with a brief introduction of the hosts and the topic of discussion.   2. The hosts then discuss the issue of gender identity and how it can be expressed through objects and toys.   3. Cindy Patton shares her story of her childhood obsession with G.I. Joe and Matchbox cars, and how she wanted to retrieve them from her parents.   4. The discussion then moves on to the topic of fandom and its role in shaping society.   5. The hosts then discuss the political campaign of Pat Buchanan and his dream of becoming the next president.   6. The podcast concludes with a brief summary of"" "
17;"    Compulsive liars are people who cannot resist the urge to lie, even when there is no benefit to lying. They often create elaborate fantasies and lies to impress others or gain their approval. These lies can range from small, seemingly harmless lies to complex, intricate stories that can take over a person's entire life.   The consequences of being involved with a compulsive liar can be devastating. The person may lose their ability to trust anyone or to believe in anything. They may feel a sense of betrayal and a loss of control. It can take years to recover from the experience and rebuild their sense of reality.   However, there is"" "
18;"  Morry Taylor, a successful businessman, runs for president and spends $6.5 million on his campaign. He gives away $25,000 in lotteries at his rallies, and one of the winners is a pig farmer named Wilfred McCreedy who also hosts the Iowa Republican caucus. Morry uses his rallies to criticize other candidates, including Lamar Alexander, Forbes, and Bob Dole. Morry's campaign diary is written by Michael Lewis, a journalist who follows him throughout the campaign. Morry's campaign ends when he drops out of the race. Michael Lewis' campaign diary will be published as a book. Brian Gil"" "
19;"   Erika Yeomans, a young woman with big dreams, is inspired by a photo of a crying man in a magazine. She decides to travel to Los Angeles to find out more about him. She discovers that the man, Bas Jan, was a Dutch artist who used his art to explore his emotions and the human condition. While Erika is fascinated by Bas' art, she also learns that he was not the perfect romantic hero she imagined him to be.  Claudia Perez, an 18-year-old girl, is a huge Selena fan. She wants to audition for the role of the young Selena in a"" "
20;"    A group of activists from the anti-nuclear movement, including Glenn Lour and Woody Jordan, were part of a group that went to a rally to protest a nuclear power plant. The group reached a consensus that Glennour's presence was disruptive and that he should leave. However, Glennour refused to leave the group and this led to the group's eventual dissolution.  The story highlights how the importance of unity and the group's priorities over the interests of an individual, even if that individual is a close friend. The incident also demonstrates how the group's need to maintain a certain image and conformity, leading to the group's inability to accept"" "
21;"  The podcast is about a man named Dr. Loh who has two Chinese wives. The first wife, Liu, was a divorcee with ambitions in the entertainment business. She was a bad driver and didn't like to spend money. Dr. Loh eventually divorced Liu and married Zhu Ping, a homemaker from the Guangzhou province. Zhu Ping was a hardworking, sensible woman who had a difficult life in Manchuria. She worked in a coal mine until she was 25 and then worked on a farming collective. Dr. Loh's children, Kaitlin and Sandra, are not happy about their father's new marriages"" "
22;"    When Kim and Tiffany were freshmen, they were starstruck by the older kids who took the lead roles in the high school plays. However, Tiffany's father was a professional actor who discouraged her from pursuing a career in theater. Kim was committed to the craft and practiced her lines tirelessly, but her mother had a more casual attitude, saying that time would eventually pass and they would forget about each other.   During a dress rehearsal, the director approached Tiffany with a role in a musical based on the lives of traveling gypsies. Tiffany couldn't sing, act, or play the tambourine, but the director persisted, suggesting"" "
23;"    In this episode of the podcast, the host interviews a teenage girl named Kara who shares her experience of being pressured into having sex by a 15-year-old boy. The boy, who was 8 years older than her, took her to his room, locked the door, and tried to coerce her into having sex. Kara initially agreed, but later regretted her decision and tried to leave. However, the boy refused to let her go and continued to pressure her. Kara ultimately succumbed to his demands, feeling like she was being experimented upon and was just a """"good girl"""" who was being manipulated.   The host also interviews"" "
24;"    The podcast episode begins with a story about a young girl named Anaheed who is talking to her father about her crush, Dennis Rodman. Her father is skeptical and concerned about her choice, but Anaheed insists that Dennisman is a good role model. The story then transitions to a discussion about the impact of the Chicago Bulls on the city and its residents. The podcasters interview a couple of people who share their experiences and opinions about the team. One of the interviewees is a writer who discusses the meaning of basketball and the game's ability to unite people. The podcast also explores the merchandising of basketball, with a focus"" "
25;"  In this podcast, the host shares four stories about fathers and fatherhood. The first story is about a woman named Sandra Tsing Loh who discovers that the world sees her father differently from how she sees him. The second story is about the music that her father used to play around the house when she was a child. The third story is about Sherman Alexie's father and his favorite song, """"The Star-Spangled Banner"""" by Jimi Hendrix. The fourth story is about a playwright named Beau O'Reilly and his relationship with his father.<|end_of_text|>"" "
26;"    The story begins with a group of children playing hide and seek. One of them discovers a man trapped in a well and they hear his cries for help. The children decide not to help the man, and over the course of several days, they engage in a series of conversations with the man in the well, asking him questions about his identity and his situation. The children become increasingly aware of the man's suffering and his desperation, but they remain reluctant to help him.   The story then shifts to a classroom where Vivian Paley, a kindergarten teacher, is trying to teach her students a new rule: """"You can't say"" "
27;"    A woman becomes suspicious of her husband and hires a private investigator to follow her and track her movements. The detective follows the woman for several days, but doesn't catch her in any compromising situations. Finally, the detective catches her leaving a restaurant with a man.   The detective reflects on the impact of his job on his view of marriage and how he and his wife maintain a good relationship despite his line of work. He also shares a funny anecdote about a situation where he felt suspicious of a man in a Corolla.   In the end, the detective concludes that the woman is probably cheating on her husband, but the investigation provides"" "
28;"    Bob Dole, a former US Senator, was a popular figure on the political scene, known for his charismatic personality and his ability to connect with people. He was a passionate advocate for various causes, including healthcare, education, and women's rights. However, his popularity was often overshadowed by his erratic behavior and inconsistent positions.   In 2004, Dole ran for the Republican presidential nomination, and his campaign was marked by a series of controversies and gaffes. He struggled to connect with voters and faced a tough challenge from George W. Bush, who was the incumbent president and the clear favorite to win the nomination."" "
29;"    Paul Tough, a writer and senior editor at The New York Times Magazine, hosts the podcast """"Heroic Obsessions"""". The podcast features interviews with individuals who have obsessive behaviors or rituals that have shaped their lives.   In the first episode, Tough interviews a woman named Jillian, who has a compulsive need to do things in pairs. For example, when she drops her car keys, she picks them up again.   The second episode features an excerpt from a book by Lauren Slater, titled """"The Girl Who Ate the Snow"""". In the book, Slater describes her obsession with the number two, and how it eventually took over"" "
30;"    The story of a man who loved music and never gave up on his dream of becoming a singer, despite the odds. He went from being a fan to a superfan, and was eventually accepted as a member of the band.   The story of an accordion player who hated the instrument, but embraced it and made it his own, playing it in his own unique way. He learned to accept himself and his limitations, and found joy in his music.<|end_of_text|>"" "
31;"  In 1960, Cassandra Smith's father, a black Republican, was invited to attend the Republican National Convention in Chicago. However, due to his efforts to change the party from within, he and his daughter were locked out of the convention hall and left to fend for themselves in a vacant lot. The lot was filled with the smell of death, and the two were unable to get back in. In 1996, Cassandra's father admitted that the party had not changed and that they were still not welcome. He felt that he had been abandoned by the party. The story highlights the struggles of minorities within the Republican Party and the need"" "
32;"    The Wieners Circle is a hot dog stand in Chicago, which has been around for decades. It is known for its high-energy, fast-paced environment, where employees are encouraged to joke and banter with customers. The employees are often seen as a family, and the owners, Larry and Barry, are known for their relaxed management style and supportive attitude.   However, the podcast episode also touches on the politics of the city, and how the Vienna Beef Company, a competitor of the Wieners Circle, was able to secure a contract to have its hot dogs sold at the Navy Pier. This is seen as a prime example of how"" "
33;"    The Democratic National Convention was held in Chicago in 1996. During the convention, the city underwent a multimillion-dollar cleanup, which included the renovation of Horner, a public housing project across the street from the United Center. The cleanup included the installation of new windows, elevators, and a playground, among other things. However, some residents of Horner were critical of the changes, stating that the improvements were only made for the sake of the convention.   The convention also featured several speeches and tributes to Bill Clinton, including one by his wife, Hillary, and another by Christopher Reeve, who died of cancer."" "
34;"   * A woman shares her experience of growing up with her grandmother, a strict Christian, and her father, a preacher, who encouraged her to play the guitar. * The woman recalls how she learned to play the guitar by learning three chords: E, A, and B, and how her father took her to church to play in front of the congregation. * Despite the initial struggles and challenges, she persevered and eventually mastered the guitar. * The woman also shares how she learned to play by listening to her father's sermons and singing songs before he preached. * The woman's story is a testament to her perseverance, determination,"" "
35;"    A podcast about the history of a marriage, featuring letters between the two partners, a poem, a letter from an insurance company, a letter to a literary festival, and a letter from a man in prison.  A podcast about the history of a marriage, featuring letters between two partners, a poem, a letter from an insurance company, a letter to a literary festival, and a letter from a man in prison.<|end_of_text|>"" "
36;"  The story begins with a description of the Eiff Tower, a famous landmark in Paris, France. The narrator then shares an anecdote about a man named Maussant who didn't care for the Eiff Tower and didn't like the food served at the restaurant located inside the tower. Maussant, however, was not the only one who had negative experiences at the Eiff Tower. The narrator then shares the story of a group of African American sailors who were stationed at an ammunition depot in Chicago during World War II. On July 17, 1944, two ammunition ships exploded, killing 320 men and injuring many others"" "
37;"    Medieval Times is a chain of fake castles across the United States, where visitors can experience a simulated Medieval tournament, including jousting, a horse exhibition, and a medieval-style dinner. The experience is designed to recreate the spirit of the Middle Ages, with an emphasis on pageantry and chivalry. However, the authenticity of the experience is questionable, with several anachronisms and inaccuracies present. The purpose of the experience is to provide entertainment and an escape from the modern world, rather than to accurately recreate the past.   In conclusion, Medieval Times is a fun and engaging experience that allows visitors to immerse"" "
38;"    Every Monday, John, Thax, and Ericka get together at John's apartment to watch It, a popular TV show. The show is about a family of vampires who live in a small town in the 1960s. The show is set in the 1960s, and it is set in a small town. The show is about a family of vampires who live in a small town in the 1960s.   One day, John, Thax, and Ericka discuss the show and its impact on popular culture. They talk about how the show has influenced fashion, music, and even hairstyles.   "" "
39;"    - Mr. Switzer, a swimming instructor, teaches his young students how to swim by helping them overcome their fears of the water. He uses a strict but friendly approach, encouraging them to take the leap of faith and jump into the deep end, knowing that he will catch them if they fall.   - A group of neighbors in Berkeley have formed a loose-knit organization of spud gun enthusiasts, who have collectively developed the spud gun into a more efficient and powerful weapon. They use their knowledge of the gun to improve its design and range, while remaining mindful of its legality and the need to avoid any attention from law enforcement"" "
40;"    Joanett Black, a drag queen and presidential candidate, believes that life in politics is similar to life in drag. She also discusses the importance of forgiveness, and how McCain and Ifshin's relationship is a testament to the power of forgiveness.<|end_of_text|>"" "
41;"  The instruction is to summarize a podcast, so I will highlight the main points of the podcast.   The podcast is about getting over someone, and the host interviews a reporter who is trying to find someone who has amnesia. The host also interviews a man who suffered a traumatic brain injury and lost his memory. The reporter interviews a psychologist who discusses the possibility of amnesia and how it can be induced. The psychologist hypnotizes the host, and the host loses his memory. The host is then interviewed by the psychologist, who asks him how it feels to not know who he is. The host describes it as being like waiting for the projector"" "
42;"    LuAnne Johnson was a teacher who wrote a book about her job and sold it to Hollywood. She was invited to appear in a movie adaptation of her book. She later moved to the ghetto in Washington, DC, where she started selling clothes at the flea market.   Carmen Del was living in a shack with her mother in the country. She moved to the city to pursue her dream of becoming a hippie revolutionary. She lived in a tenant's shack and was struggling to make ends meet. One day, she went to a fortune-teller who gave her three wishes. She wished for an apartment, a man, and"" "
43;"    Danielle's family has a tradition of serving a specific meal on holidays, which they call """"Fish"""". However, Danielle's sister, Ashley, is the only one who knows the secret of the name.   Michael Stumm, a former member of the Wooster Group, lives in Johannesburg, South Africa. He explains that sangomas, or witch doctors, use chicken blood in various ways to treat ailments and bring about change.   David Sedaris, a commentator on NPR, explains how chicken heads are attached to chicken feet in a specific ceremony, which can be used to cause a court to lose documents.   Chickenman,"" "
44;"  Sandra Tsing tried to gain fame by performing at the Harbor Freeway in Los Angeles, but the media turned her into a joke. Cheryl Trykv shares a story of near proximity to the news media, entertainment industry, and megalith. She recalls a family trip to Palm Springs with her parents, where she experienced a moment of clarity and self-reflection.<|end_of_text|>"" "
45;"  Dave Awl, a man who embraced his sissiness, founded the Pans Kings, a gay and sissy performance collective. He faced homophobia and sissophobia growing up, but eventually learned to accept himself and embrace his femininity. The story of Mubarak and Margie, a couple who faced the challenges of a sissy man and his mother, is also featured. The program highlights the struggles of sissies in society, their search for acceptance, and the importance of self-acceptance.<|end_of_text|>"" "
46;"    The podcast discusses the impact of Christmas on people's emotions and how it can be both joyful and disappointing at the same time. It also highlights the challenges of maintaining a perfect image of the holiday season, as well as the inherent flaws in the structure of Christmas. The podcast features a segment of a three-year-old boy running his train so fast that it crashes, and a discussion of how this symbolizes the potential for disappointment and imperfections that come with the holiday.<|end_of_text|>"" "
47;"    The Nuremberg trials were a series of trials held after World War II to bring justice to those responsible for Nazi crimes. However, the trials were criticized for being a victor's justice, with the defendants being tried by a panel of judges from the Allied nations.  In the United States, the Apology Line was a telephone line where people could anonymously confess their sins. The line was used by people to apologize for various acts, ranging from breaking windows to killing their sisters. The line was also used by people to confess their feelings, such as being a runaway or a killer.   The Apology Line was created by Allan"" "
48;"  The podcast discusses the story of Samantha Martin, a woman who trains raccoons to play basketball and hires them out for parties and corporate events. The podcast also explores the concept of animal rights and the idea that humans are animals too, and that there is a moment in human history when humans stopped being animals. The story is told through a narrative of a little girl who owns a spaniel named Kathleen, and her experience of attending an animal court where animals are tried for their crimes. The story is accompanied by a radio play written by David Sedaris, which features animals acting like humans and holding court in the forest. The play highlights"" "
49;"  In 1994, a young man named Kevin Kelly was on the brink of death. He had a terminal illness and decided to live his last six months as if he were to die. He traveled the world, took photographs, and wrote about his experiences. He also met with people and shared his story. In 1995, a young man named Lawrence Steger was diagnosed with cancer and found himself facing the same situation. He also decided to live his last months as if he were to die and wrote about his experiences. He met with people and shared his story. In 1996, a young woman named Claudia Perez was shot"" "
50;"  The podcast discussed the story of Clarence Hicks, an animal catcher who picks up dead animals in Washington, DC. Clarence's job is to pick up dead animals from the streets and dispose of them in an incinerator. He believes that animals have the right to live and should be treated with dignity and respect, even if they are dead. Clarence's empathy and compassion for animals is evident in his work. He goes out of his way to ensure that the animals are given a proper burial, and that they are not left to suffer. He has a code of ethics that he lives by, and he believes that animals deserve a chance to live"" "
51;"  In the story, a woman named Catherine meets her third-grade teacher, Ms. Chest, who visits her home and asks her to touch the light switches. Catherine has a habit of touching various objects in her house, and the teacher finds this behavior strange. Catherine's mother and Ms. Chest discuss her behavior, and they both seem to find her habits amusing. Catherine grows up and eventually finds comfort in smoking, which helps her cope with her anxiety. She works nights in a mental hospital, where she meets Carol, a patient who seems to have a calming effect on her. Carol tells Catherine that she'll be okay, and that they'll"" "
52;"    The story takes place in a theater where a man and a woman are in love with each other. The woman is in love with the man, but the man is a child who has never grown up. The woman is a Negress, meaning she has a strong will and is determined to make her own way in the world. The man is a bad influence on her, and she is eventually sickened by his childish behavior and lies. She dies, but before her death, she has a realization that she loves him, no matter how terrible he is. The man, on the other hand, is in love with the woman and"" "
53;"    Frank Sinatra, the American singer, actor, and cultural icon, was known for his distinctive voice, style, and charisma. He rose to fame in the 1940s, and became one of the most popular and influential singers of his time. He was also known for his turbulent personal life, which included a tumultuous marriage to Ava Gardner and a complicated relationship with the Mafia.  In the 1950s, Sinatra's career was at its peak. He was at the center of a group of entertainers known as the Rat Pack, which included Dean Martin, Sammy Davis Jr., and others. He also starred in several successful"" "
54;"  Sarah, a 22-year-old woman who recently moved to San Francisco, is struggling to make ends meet. She calls a friend, who advises her to work as a stripper. Sarah starts working as a dancer, but soon finds that the job is exhausting and emotionally draining. She develops a drug addiction and eventually dies of a drug overdose.<|end_of_text|>"" "
55;"  Dishwasher Pete, a graphic designer from SoHo, has spent the past 10 years washing dishes in every state in the Union. He is a true patriot and a master at his craft. He can light cigarettes and cigars by catching his hand on fire and putting them up to his mouth. However, his passion for writing has led him to create some rather bizarre and impassioned reviews of bands like Pavement and Yo La Tengo. He has also developed a habit of stalking his ex-girlfriends and writing rants about phone companies. Despite his eccentricities, he remains a charming and talented individual.<|end_of_text|>"" "
56;"    A UPS driver has a reputation for being a ladies' man, but it turns out that most of the stories he tells about his sexual exploits on the job are just that - stories.   A FedEx driver named Edward Maxwell is fired after he is accused of stealing a package, but the company's CEO apologizes and offers to donate computers to the Anti-Defamation League, which the driver rejects.   A FedEx customer named Stephen Glass orders a laptop from Gateway 2000 and, but the delivery is delayed and the package is eventually stolen. Glass's attempts to retrieve the laptop are met with frustration and the company's executives are un"" "
57;"    The podcast discusses the concept of small towns and how they can exist anywhere, even in the heart of a big city. The first act features a couple, Letta and Sanio, who live in public housing in Chicago's South Side. The second act focuses on a group of farmers who gather at a get-together to play games and crack jokes while playing cards. The third act follows the journey of Sarah Vowell, who moved from a small town to the big city, and her struggle to find a place where she fits in.<|end_of_text|>"" "
58;"    The story revolves around a couple's struggles to find parking in the city. They try to save a spot by standing in it, but the man in the car behind them takes it. The couple then tries to save the spot by pushing the car, but the man in the car behind them takes it. Finally, the couple gives up and drives away, leaving the spot for the man to take.   In the end, the man takes the spot, and the couple drives away, leaving the man to deal with the noise and crime in the city.<|end_of_text|>"" "
59;"    The podcast episode begins with the story of Kish Naomi Ginsberg, a Jewish poet who died in 1956. Her son, Allen Ginsberg, recalls her last moments.   The episode then discusses the topic of death and how it can be a mystery to some people. It also talks about the importance of preparing for death by donating organs.   The next part of the podcast is an interview with a funeral director, John Lynch, who discusses his job and how it can be both rewarding and stressful. He also talks about the Midwinter Conference, where funeral directors from across the country come together to discuss the latest trends in their"" "
60;"  A local public radio show in Wisconsin was moved from its morning time slot to the afternoon, which caused an uproar among listeners and the state legislature. The show's host, Matt Joseph, was fired as a result of the controversy, but his actions led to a public outcry and a legislative investigation. The incident serves as a cautionary tale for other public radio stations, as it highlights the importance of considering the impact of programming decisions and the power of the public in shaping the direction of public media.<|end_of_text|>"" "
61;"  Dirk Jam's father, an unemployed construction worker, decides to seek something for nothing, mostly for his own pleasure, but also for the benefit of his family. He begins by throwing away his job and scavenging through dumpsters for food and other necessities. The family moves to Mammoth Lakes, California, where they can enjoy a more carefree, outdoor lifestyle. However, Dirk's mother struggles to accept her husband's new lifestyle, and the couple's relationship deteriorates. Dirk's mother eventually moves out, leaving him to raise the children on his own. Dirk's father eventually realizes that his new lifestyle is not without its drawbacks, and"" "
62;"  Edward Hick Collins was a one-thinger who believed in a kind of utopian nudity and came up with the idea of International Nudity Day. However, he was arrested for indecent exposure and was found guilty. He then spent the rest of his life trying to promote his idea, but he faced resistance from the police and the general public. Eventually, he lost his mind and became a cat and dog liberator.<|end_of_text|>"" "
63;"    1. Julie, a young girl, spends the summer with her mother, who has a secret affair with a man in Los Angeles.   2. A sixteen-year-old boy dies while rafting down the river.   3. Scott Carrier, a river guide, travels down the Green River in Utah.   4. Ron Carlson, a writer, tells the story of his summer job delivering oxygen cylinders to people in Phoenix.   5. Elizabeth Rensdale, a teenage girl, has a relationship with her oxygen delivery boy, David.   6. Gil Benson, an elderly man, is dying of lung disease. He is visited"" "
64;"  The podcast discusses the Canadian identity and how it is perceived by Americans. The podcast features an interview with Paul Tough, who talks about his sister who lives in Canada, and how her identity is perceived differently by people in Canada and America. The podcast also discusses the presence of Canadians in the American media and how they are portrayed. The podcast highlights the differences between Canadian and American culture and how these differences are perceived by the two nations.<|end_of_text|>"" "
65;"    The podcast episode starts with a story about a woman who met a man over the internet and developed an online friendship with him. The man eventually dies, and the woman grieves his loss.  The second story is about a man who met another man over the internet and developed an online friendship with him. The man eventually dies, and the woman grieves his loss.  The third story is about a woman who met a man over the internet and developed an online friendship with him. The man eventually dies, and the woman grieves his loss.<|end_of_text|>"" "
66;"    In the first story, a family of four (Artie, June, Sam, Reverend James, and Lucy) is discussing the new neighbors who recently moved in. The family is concerned about the new neighbors and their potential threat to the community. The story is told through the eyes of Artie, who expresses his frustration with the situation.   In the second story, David Sedaris tells the story of his sister Lisa and his parents' dream for her to become a professional golfer. The story is told from the perspective of David, who is critical of his parents' attempts to push Lisa into the sport.   In"" "
67;"    The summary of the first podcast is that, in the past, West Indians in the United States have faced discrimination and prejudice, but over time, they have been able to overcome these challenges and achieve success. However, the success of West Indians has not diminished the discrimination faced by African Americans, as they are still seen as a separate group.   The summary of the second podcast is that, despite being raised in a predominantly white neighborhood, the narrator's father was initially prejudiced against black people. However, he eventually came to realize that his prejudices were wrong and changed his attitude towards them.   The summary of the third podcast is that"" "
68;"    Meema Spola's family moved from the Upper West Side of Manhattan to Maine, where they built a house on a mountain. The move was a dream come true for her father, but it was a nightmare for her. She felt like her parents had taken her away from her friends and her life in the city. However, she eventually came to terms with the move and embraced the beauty of the new place.   In the second act, David Beers and his family moved to the suburbs of California. They were among the first families to move into the area, which was still barren and empty. Beers' family and the"" "
69;"  Pete was supposed to meet a friend when she got off work. To kill time, he wandered around the alleys, digging through dumpsters and seeing what was there. He found a bag of letters written over a year and a half. Pete was excited to read them, but they were not in any order. He had to open the first letter he could grab and read it. The letters were written by a woman to her boyfriend. She wrote about her life and how she was feeling. She also talked about her relationship with the boyfriend and how he was making her feel. Pete also found a letter written by the boyfriend to the woman."" "
70;"    The podcast episode """"My World Record"""" features a man named Hy Meyerowitz, who is suffering from a degenerative neurological condition. He struggles with memory loss and has to rely on his son, Joel, to help him remember and make decisions. The episode chronicles Hy's journey through the past, where he reminisces about his life, his family, and his achievements.   In the beginning of the episode, Hy talks about his childhood, growing up in New York City, and his love for Charlie Chaplin. He recalls how Chaplin's character would bring him joy and how he would try to emulate the actor's persona."" "
71;"    In this episode of This American Life, host Ira Glass explores the experiences of two best friends, Rich Robinson and Josh Seft, as they travel to South Africa to meet the extended Seft family. The Seft family is a white Jewish family who lived in South Africa during the apartheid era. The trip is a journey into the new South Africa, where the two friends encounter the reality of the country's racial tensions and inequalities. Rich and Josh meet distant relatives, experience the new multiracial society, and visit various places, including the new South African Woodstock, a hippie commune.   The Seft family is a"" "
72;"    Jim Biederman is a musician who grew up listening to his father's music. He heard his father's music for the first time when he was 17. He was disappointed at first, but after listening to his father's music, he discovered a new world of music and fell in love with it. He started listening to all kinds of music, including Iggy Pop, Yoko Ono, and The Beatles.   Ellery Eskelin is a jazz musician who never met his father. He first heard his father's music when he was 17, and he was disappointed. But after listening to his father's music,"" "
73;"   1. Before the pandemic, John Perry Barlow was a rancher, songwriter, and head of the Electronic Frontier Foundation. He traveled everywhere, talking about computers, and that's how he ended up at the Moscone Center in San Francisco for a NeXT computer convention in 1993.2. At the same time, the American Psychiatric Association was having a convention.3. The two conventions were separated by a wall, but John met a woman who would later become his wife.4. They had an instant connection, and John spent the rest of the convention with her.5. After the convention, John and Cynthia"" "
74;"    Helga and Starlee are neighbors in the East Village, New York. They have a contentious relationship. Helga puts up signs accusing Starlee of being a drug dealer. Starlee collects the signs and tries to clear her name. The unkindness breeds unkindness. Starlee wishes things could be different.   Nick Drakides is a jazz singer who lives in the building. He is a Sinatra impersonator. He has a record collection. Five weeks ago, his neighbor Laraine Goodman, a tap dancer, asked him to play some tunes while she tap danced. He went out with his instant Sinatra kit, including"" "
75;"   In the 1970s, a performance artist named Susan lived on Mulberry Street in New York City, across the street from the Ravenite Social Club, a hangout for the Gambino crime family. After Susan moved out, her cousin, a writer named Terry, moved in. Terry got to know some of the Ravenites, including Norman, the bartender, and Mike, who took care of the garage. She noticed that the Ravenites were scared of the police, who were using a dog named Duke to plant microphones in the club. One day, the police got the dose wrong and Duke woke up, so the"" "
76;"    - The podcast features two stories about people who have different views on religion.   The first story is about a Christian man who believes that he is going to hell because he hasn't accepted Jesus Christ as his savior. The second story is about a carpenter who works with a group of religious people who believe that everyone will get what they deserve in the afterlife.  - The Christian man believes that he is going to hell because he is Jewish. He believes that no matter what good he does in this life, he will still go to hell because he is Jewish.   - The carpenter and his group of religious friends believe that"" "
